Date,Pageviews,Clicks,Enrollments,Payments
"Sat, Oct 11",13129.1,1167.8999999999999,227.79999999999998,119.0
"Sun, Oct 12",15473.4,1324.3,249.9,119.0
"Mon, Oct 13",17868.7,1545.3,283.9,161.5
"Tue, Oct 14",16780.7,1421.2,265.2,178.5
"Wed, Oct 15",17023.8,1422.8999999999999,277.09999999999997,108.8
"Thu, Oct 16",16439.0,1399.1,234.6,139.4
"Fri, Oct 17",15313.6,1271.6,248.2,129.2
"Sat, Oct 18",12637.8,1074.3999999999999,187.0,119.0
"Sun, Oct 19",14380.3,1174.7,222.7,102.0
"Mon, Oct 20",18133.899999999998,1463.7,280.5,164.9
"Tue, Oct 21",18122.0,1473.8999999999999,333.2,178.5
"Wed, Oct 22",16909.899999999998,1424.6,275.4,156.4
"Thu, Oct 23",14150.8,1130.5,215.9,95.2
"Fri, Oct 24",16037.8,1144.1,374.0,207.4
"Sat, Oct 25",14767.9,1174.7,299.2,217.6
"Sun, Oct 26",15123.199999999999,1203.6,273.7,176.79999999999998
"Mon, Oct 27",16209.5,1290.3,396.09999999999997,210.79999999999998
"Tue, Oct 28",15917.1,1251.2,261.8,154.7
"Wed, Oct 29",15855.9,1256.3,333.2,146.2
"Thu, Oct 30",15886.5,1247.8,283.9,127.5
"Fri, Oct 31",15113.0,1200.2,295.8,171.7
"Sat, Nov 1",14382.0,1157.7,265.2,158.1
"Sun, Nov 2",15021.199999999999,1178.1,350.2,113.89999999999999
